City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ushuaia,-54.8,-68.3,6.81,57,20,2.06,AR,1694380417
84,kigorobya,1.6162,31.3089,19.91,90,100,2.72,UG,1694380418
85,georgetown,5.4112,100.3354,27.75,95,20,1.03,MY,1694380418
86,new norfolk,-42.7826,147.0587,2.18,92,73,1.14,AU,1694380418
87,jayapura,-2.5333,140.7,23.66,89,99,2.13,ID,1694380418
88,margate,51.3813,1.3862,22.61,73,71,1.79,GB,1694380246
89,alofi,-19.0595,-169.9187,25.94,61,85,8.23,NU,1694380419
90,bhadrachalam,17.6667,80.8833,24.73,96,100,2.43,IN,1694380419
91,nieuw amsterdam,5.8833,-55.0833,28.49,75,22,5.61,SR,1694380419
92,palmer,42.1584,-72.3287,22.65,85,100,2.06,US,1694380372
93,fada,9.5667,8.3,21.58,96,27,0.5,NG,1694380421
94,hermanus,-34.4187,19.2345,10.45,57,100,9.26,ZA,1694380421
95,chonchi,-42.6128,-73.8092,11.73,75,82,2.45,CL,1694380421
96,nemuro,43.3236,145.575,16.73,94,88,1.39,JP,1694380422
97,saint-philippe,-21.3585,55.7679,19.77,79,40,5.21,RE,1694380422
98,tual,-5.6667,132.75,25.3,87,87,9.07,ID,1694380423
99,muroto-misakicho,33.2833,134.15,25.23,81,37,2.86,JP,1694380423
100,west island,-12.1568,96.8225,24.99,78,40,3.09,CC,1694380424
101,la passe,45.5549,-0.8967,24.13,89,70,3.82,FR,1694380424
102,corinto,37.9407,22.9573,22.72,56,0,3.09,GR,1694380424
103,guerrero negro,27.9769,-114.0611,26.77,61,1,6.27,MX,1694380424
104,taro,-8.3862,115.28,22.0,92,70,0.84,ID,1694380424
105,tarinkot,32.6268,65.8733,23.52,11,0,0.99,AF,1694380425
106,cozumel,20.5083,-86.9458,31.64,82,40,3.09,MX,1694380425
107,al miqdadiyah,33.9786,44.9369,31.31,24,0,3.63,IQ,1694380425
108,saudarkrokur,65.7461,-19.6394,5.64,84,100,2.48,IS,1694380425
109,darovskoy,58.77,47.9564,9.22,91,12,2.26,RU,1694380426
110,bury st edmunds,52.2463,0.7111,21.9,100,20,2.57,GB,1694380426
111,olonkinbyen,70.9221,-8.7187,2.24,70,86,3.28,SJ,1694380417
112,rio grande,-32.035,-52.0986,19.06,89,83,6.55,BR,1694380426
113,yangiobod,41.1192,70.0941,21.65,32,24,2.9,UZ,1694380426
114,sabzevar,36.2126,57.6819,23.39,48,0,4.03,IR,1694380426
115,klyuchi,52.2667,79.1667,15.25,60,100,6.2,RU,1694380427
116,bonthe,7.5264,-12.505,25.51,87,100,2.81,SL,1694380427
117,ta`u,-14.2336,-169.5144,26.59,77,61,4.58,AS,1694380427
118,qarauyl,48.9451,79.255,16.18,53,50,2.22,KZ,1694380427
119,ribeira grande,38.5167,-28.7,22.1,80,14,0.89,PT,1694380428
120,caxito,-8.5785,13.6643,22.33,83,0,1.49,AO,1694380428
121,aasiaat,68.7098,-52.8699,0.89,71,100,2.96,GL,1694380428
122,santa ana,33.7456,-117.8678,37.2,53,75,5.66,US,1694380378
123,persembe,41.0656,37.7714,17.68,65,61,2.88,TR,1694380428
124,la'ie,21.6477,-157.9253,30.98,70,98,4.47,US,1694380428
125,kimbe,-5.5502,150.1429,24.21,90,99,2.32,PG,1694380429
126,kerikeri,-35.2268,173.9474,14.95,93,89,2.24,NZ,1694380429
127,magdagachi,53.45,125.8,6.92,85,100,2.53,RU,1694380429
128,caleta de carquin,-11.0925,-77.6267,20.82,75,18,4.49,PE,1694380420
129,chilecito,-29.1619,-67.4974,31.88,7,18,6.61,AR,1694380429
130,as sulayyil,20.4607,45.5779,31.14,11,27,1.96,SA,1694380430
131,fuyuan,46.4333,127.0833,15.36,98,28,4.01,CN,1694380430
132,yigo village,13.5361,144.8886,25.97,90,40,3.09,GU,1694380430
133,vorkuta,67.5,64.0,8.63,87,100,4.22,RU,1694380430
134,vuktyl,63.8567,57.3094,8.73,75,17,0.62,RU,1694380431
135,afaahiti,-17.75,-149.2833,24.93,80,0,6.11,PF,1694380425
136,benguela,-12.5763,13.4055,20.97,84,62,2.73,AO,1694380431
137,hithadhoo,-0.6,73.0833,27.82,75,82,4.94,MV,1694380431
138,belmonte,-15.8631,-38.8828,23.15,75,19,3.56,BR,1694380432
139,lebu,-37.6167,-73.65,11.73,90,100,3.45,CL,1694380421
140,tiksi,71.6872,128.8694,1.94,71,5,4.25,RU,1694380432
141,entebbe,0.0644,32.4469,20.0,88,95,3.75,UG,1694380432
142,la ronge,55.1001,-105.2842,19.12,29,20,3.6,CA,1694380428
143,shantobe,52.4581,68.1839,9.62,67,100,2.43,KZ,1694380433
144,constantia,44.1833,28.65,14.38,56,2,4.7,RO,1694380433
145,vadso,70.0744,29.7487,9.49,87,0,1.03,NO,1694380433
146,badger,64.8,-147.5333,13.14,73,20,0.0,US,1694380433
147,chibougamau,49.9168,-74.3659,18.79,39,75,0.0,CA,1694380433
148,coquimbo,-29.9533,-71.3436,17.74,60,100,2.71,CL,1694380119
149,chokwe,-24.5333,32.9833,24.65,28,0,3.19,MZ,1694380434
150,pianillo,40.8317,14.5333,25.88,60,10,0.62,IT,1694380434
151,bandon,51.7469,-8.7425,18.77,95,76,1.47,IE,1694380430
152,linares,-35.85,-71.6,12.48,94,100,4.71,CL,1694380435
153,longyearbyen,78.2186,15.6401,0.91,86,75,8.75,SJ,1694380435
154,kibungo,-2.1597,30.5427,17.51,79,97,0.86,RW,1694380435
155,jakiri,6.1,10.65,16.09,94,99,1.83,CM,1694380435
156,black river,18.0264,-77.8487,30.76,65,30,1.45,JM,1694380435
157,pestravka,52.405,49.9583,12.13,71,76,3.28,RU,1694380436
158,lompoc,34.6391,-120.4579,33.34,69,0,5.14,US,1694380418
159,anadyr,64.75,177.4833,7.28,65,20,1.79,RU,1694380417
160,san rafael del sur,11.8485,-86.4384,34.54,48,22,3.74,NI,1694380436
161,lamu,-2.2717,40.902,24.5,88,49,5.72,KE,1694380436
162,kertih,4.5141,103.4483,24.5,92,100,2.01,MY,1694380436
163,alice springs,-23.7,133.8833,12.9,53,0,25.48,AU,1694380437
164,daru,-9.0763,143.2092,25.12,81,100,8.37,PG,1694380437
165,qaqortoq,60.7167,-46.0333,4.83,72,100,1.65,GL,1694380434
166,luba,3.4568,8.5547,25.67,89,23,2.2,GQ,1694380437
167,padang,-0.9492,100.3543,23.03,88,52,3.29,ID,1694380231
168,kapuskasing,49.4169,-82.4331,18.22,61,73,1.89,CA,1694380203
169,ha tinh,18.3333,105.9,25.61,84,100,1.96,VN,1694380438
170,chita,52.0333,113.55,0.94,100,11,1.0,RU,1694380398
171,acarau,-2.8856,-40.12,26.19,73,1,9.16,BR,1694380333
172,kavieng,-2.5744,150.7967,27.26,78,85,3.93,PG,1694380438
173,nambutalai,9.7167,79.0,25.6,86,100,1.22,IN,1694380439
174,kavaratti,10.5669,72.642,27.68,81,95,6.62,IN,1694380439
175,dapa,9.7594,126.0531,27.41,79,88,3.19,PH,1694380439
176,karratha,-20.7377,116.8463,23.18,48,25,3.52,AU,1694380422
177,cannonvale,-20.2833,148.7,21.66,66,18,8.49,AU,1694380439
178,isla mujeres,21.2311,-86.731,30.09,78,53,2.87,MX,1694380440
179,howard springs,-12.497,131.047,23.95,86,94,2.87,AU,1694380440
180,chipinge,-20.1883,32.6236,17.03,47,0,2.22,ZW,1694380440
181,murzuq,25.9155,13.9184,27.76,28,0,2.47,LY,1694380440
182,berezovyy,51.6667,135.7,10.27,81,47,1.27,RU,1694380441
183,enewetak,11.3474,162.3373,28.71,73,83,3.19,MH,1694380441
184,vitoria da conquista,-14.8661,-40.8394,20.69,42,1,3.65,BR,1694380255
185,hamilton,39.1834,-84.5333,28.33,58,75,3.6,US,1694380162
186,ust-nera,64.5667,143.2,2.21,97,100,2.01,RU,1694380416
187,necochea,-38.5473,-58.7368,15.7,69,91,2.77,AR,1694380442
188,freetown,8.484,-13.2299,25.49,85,100,2.94,SL,1694380442
189,viqueque,-8.8673,126.3658,23.26,91,83,1.07,TL,1694380442
190,usinsk,65.9939,57.5281,9.56,87,57,4.21,RU,1694380443
191,whangarei,-35.7317,174.3239,15.39,78,98,3.71,NZ,1694380443
192,horta,38.5333,-28.6333,21.68,80,29,0.89,PT,1694380444
193,buriti dos lopes,-3.175,-41.8669,28.86,70,64,5.32,BR,1694380444
194,sint michiel liber,12.15,-68.9833,31.9,74,20,5.14,CW,1694380444
195,safotu,-13.4513,-172.4018,27.43,80,71,4.61,WS,1694380445
196,dudinka,69.4058,86.1778,10.9,98,100,4.01,RU,1694380419
197,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,20,2.0,RU,1694380421
198,szigetvar,46.0486,17.8055,21.53,41,5,1.28,HU,1694380445
199,arkhangel'sk,64.5401,40.5433,10.69,92,5,2.52,RU,1694380446
200,tralee,52.2704,-9.7026,15.81,96,100,1.97,IE,1694380446
201,kurmuk,10.55,34.2833,21.22,96,98,1.8,SD,1694380446
202,mandali,33.7499,45.5541,32.35,22,0,4.17,IQ,1694380447
203,namibe,-15.1961,12.1522,16.81,89,88,1.66,AO,1694380447
204,grand baie,-20.0182,57.5802,23.58,68,14,0.89,MU,1694380447
205,tsiombe,-25.3,45.4833,21.96,69,0,0.55,MG,1694380417
206,vilyuchinsk,52.9306,158.4028,9.15,58,8,4.31,RU,1694380447
207,ocean city,39.2776,-74.5746,28.34,79,95,3.13,US,1694380448
208,waounde,15.2637,-12.8682,32.36,55,47,3.59,SN,1694380448
209,fort bragg,35.139,-79.006,30.58,64,75,3.09,US,1694380253
210,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,7.72,EC,1694380341
211,kristiansund,63.1115,7.732,13.03,87,75,1.03,NO,1694380449
